"","Y","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"X1",0.272680838494778,1,1,0,0.01,2,0.0512710963760241,0,1,0,1,1,0,1,1,1,1
"X2",-0.0931053555050735,1,2,0,0.01,2,0.105170918075648,0,1,0,1,1,0,1,1,1,1
"X3",-0.532198345621406,1,3,0,0.01,2,0.161834242728283,0,1,0,1,1,0,1,1,1,1
"X4",-0.529793171318142,1,4,0,0.01,2,0.22140275816017,0,1,0,1,1,0,1,1,1,1
"X5",-0.8524458631008,1,5,0,0.01,2,0.284025416687741,0,1,0,1,1,0,1,1,1,1
"X6",2.11347854896742,1,6,0,0.01,2,0.349858807576003,0,1,0,1,1,0,1,1,1,1
"X7",0.297275823526873,1,7,1,0.01,2,0.419067548593257,0,1,0,1,1,0,1,1,1,1
"X8",1.54211882782125,1,8,0,0.01,2,0.49182469764127,0,1,0,1,1,0,1,1,1,1
"X9",0.870352543018606,1,9,0,0.01,2,0.568312185490169,0,1,0,1,1,0,1,1,1,1
"X10",1.29812380426406,1,10,0,0.01,2,0.648721270700128,0,1,0,1,1,0,1,1,1,1
"X1.1",0.509022327540685,2,1,0,0.01,1,0.01,1,0,1,1,0,0,1,0,1,1
"X2.1",0.762140776047777,2,2,0,0.01,1,0.01,1,0,1,1,0,0,1,0,1,1
"X3.1",-0.788503972544805,2,3,0,0.01,1,0.01,1,0,1,1,0,0,1,0,1,1
"X4.1",1.29052043847175,2,4,0,0.01,1,0.01,1,0,1,1,0,0,1,0,1,1
"X5.1",0.816977890432521,2,5,0,0.01,1,0.01,1,0,1,1,0,0,1,0,1,1
"X6.1",-0.662556209688572,2,6,0,0.01,1,0.01,1,0,1,1,0,0,1,0,1,1
"X7.1",-0.722684431775048,2,7,0,0.01,1,0.01,1,0,1,1,0,0,1,0,1,1
"X8.1",-0.187177039162649,2,8,0,0.01,1,0.01,1,0,1,1,0,0,1,0,1,1
"X9.1",-0.208765829107742,2,9,0,0.01,1,0.01,1,0,1,1,0,0,1,0,1,1
"X10.1",-0.133123562570248,2,10,0,0.01,1,0.01,1,0,1,1,0,0,1,0,1,1
"X1.2",-0.684780539006328,3,1,0,0.01,3,0.127496851579376,0,0,1,1,0,0,0,0,0,1
"X2.2",-0.58780312425644,3,2,0,0.01,3,0.271249150321405,0,0,1,1,0,0,0,0,0,1
"X3.2",-1.75859173196429,3,3,0,0.01,3,0.43332941456034,0,0,1,1,0,0,0,0,0,1
"X4.2",0.656382097518915,3,4,0,0.01,3,0.616074402192893,0,0,1,1,0,0,0,0,0,1
"X5.2",2.58897636416686,3,5,0,0.01,3,0.822118800390509,0,0,1,1,0,0,0,0,0,1
"X6.2",1.64117756378722,3,6,0,0.01,3,1.05443321064389,0,0,1,1,0,0,0,0,0,1
"X7.2",1.90891282466956,3,7,0,0.01,3,1.31636697678109,0,0,1,1,0,0,0,0,0,1
"X8.2",2.37498125299438,3,8,0,0.01,3,1.61169647342312,0,0,1,1,0,0,0,0,0,1
"X9.2",2.63797246189208,3,9,0,0.01,3,1.94467955106552,0,0,1,1,0,0,0,0,0,1
"X10.2",4.02880439005369,3,10,0,0.01,3,2.32011692273655,0,0,1,1,0,0,0,0,0,1
"X1.3",0.0860640990820962,4,1,0,0.01,1,0.01,1,1,0,1,1,0,0,1,0,1
"X2.3",-1.17077694000046,4,2,0,0.01,1,0.01,1,1,0,1,1,0,0,1,0,1
"X3.3",-0.199689147495625,4,3,1,0.01,1,0.01,1,1,0,1,1,0,0,1,0,1
"X4.3",-0.809002555322128,4,4,0,0.01,1,0.01,1,1,0,1,1,0,0,1,0,1
"X5.3",-1.68853006821776,4,5,0,0.01,1,0.01,1,1,0,1,1,0,0,1,0,1
"X6.3",0.322941354318164,4,6,0,0.01,1,0.01,1,1,0,1,1,0,0,1,0,1
"X7.3",1.87292309403031,4,7,0,0.01,1,0.01,1,1,0,1,1,0,0,1,0,1
"X8.3",-0.627696383718686,4,8,0,0.01,1,0.01,1,1,0,1,1,0,0,1,0,1
"X9.3",-2.25122202270774,4,9,0,0.01,1,0.01,1,1,0,1,1,0,0,1,0,1
"X10.3",-2.18772375815508,4,10,0,0.01,1,0.01,1,1,0,1,1,0,0,1,0,1
"X1.4",-0.423165707234013,5,1,0,0.01,1,0.01,1,0,1,1,1,1,1,1,0,1
"X2.4",1.72691800472744,5,2,0,0.01,1,0.01,1,0,1,1,1,1,1,1,0,1
"X3.4",0.902309490388608,5,3,0,0.01,1,0.01,1,0,1,1,1,1,1,1,0,1
"X4.4",-0.8513643389591,5,4,0,0.01,1,0.01,1,0,1,1,1,1,1,1,0,1
"X5.4",-0.751675834811686,5,5,0,0.01,1,0.01,1,0,1,1,1,1,1,1,0,1
"X6.4",0.364168798515239,5,6,0,0.01,1,0.01,1,0,1,1,1,1,1,1,0,1
"X7.4",0.383129998285627,5,7,0,0.01,1,0.01,1,0,1,1,1,1,1,1,0,1
