"","Y","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"X1",0.299387846569906,1,1,0,0.01,2,0.0512710963760241,1,1,0,1,0,0,0,1,1,0
"X2",0.307040136240694,1,2,0,0.01,2,0.105170918075648,1,1,0,1,0,0,0,1,1,0
"X3",0.715524776048532,1,3,0,0.01,2,0.161834242728283,1,1,0,1,0,0,0,1,1,0
"X4",2.8831131631124,1,4,0,0.01,2,0.22140275816017,1,1,0,1,0,0,0,1,1,0
"X5",0.394913737448968,1,5,0,0.01,2,0.284025416687741,1,1,0,1,0,0,0,1,1,0
"X6",1.52286260206281,1,6,0,0.01,2,0.349858807576003,1,1,0,1,0,0,0,1,1,0
"X7",2.04938277861243,1,7,0,0.01,2,0.419067548593257,1,1,0,1,0,0,0,1,1,0
"X8",2.44473224200067,1,8,0,0.01,2,0.49182469764127,1,1,0,1,0,0,0,1,1,0
"X9",3.78208732633053,1,9,0,0.01,2,0.568312185490169,1,1,0,1,0,0,0,1,1,0
"X10",2.93970424506859,1,10,0,0.01,2,0.648721270700128,1,1,0,1,0,0,0,1,1,0
"X1.1",0.490704197798912,2,1,0,0.01,1,0.01,1,0,0,0,0,0,0,0,1,0
"X2.1",-1.23596956408846,2,2,0,0.01,1,0.01,1,0,0,0,0,0,0,0,1,0
"X3.1",-0.046022238925777,2,3,0,0.01,1,0.01,1,0,0,0,0,0,0,0,1,0
"X4.1",-0.54992591314104,2,4,0,0.01,1,0.01,1,0,0,0,0,0,0,0,1,0
"X5.1",1.77767060750222,2,5,0,0.01,1,0.01,1,0,0,0,0,0,0,0,1,0
"X6.1",-0.439987683213626,2,6,0,0.01,1,0.01,1,0,0,0,0,0,0,0,1,0
"X7.1",-0.341452403709732,2,7,0,0.01,1,0.01,1,0,0,0,0,0,0,0,1,0
"X8.1",1.29524680684541,2,8,0,0.01,1,0.01,1,0,0,0,0,0,0,0,1,0
"X9.1",-0.553910154898697,2,9,0,0.01,1,0.01,1,0,0,0,0,0,0,0,1,0
"X10.1",0.586088604892619,2,10,0,0.01,1,0.01,1,0,0,0,0,0,0,0,1,0
"X1.2",2.05107668301473,3,1,0,0.01,2,0.0512710963760241,1,1,0,1,0,1,0,1,0,1
"X2.2",0.90534193884997,3,2,0,0.01,2,0.105170918075648,1,1,0,1,0,1,0,1,0,1
"X3.2",0.615218983139218,3,3,0,0.01,2,0.161834242728283,1,1,0,1,0,1,0,1,0,1
"X4.2",2.21454824471739,3,4,0,0.01,2,0.22140275816017,1,1,0,1,0,1,0,1,0,1
"X5.2",1.63370426150716,3,5,1,0.01,2,0.284025416687741,1,1,0,1,0,1,0,1,0,1
